Method,Quantile Level,Accuracy_g,Relaxed Acc_g,Accuracy_c,Relaxed Acc_c
EM,0.1,0.0032824130343255247,0.050191021967526284,0.06818181818181823,0.08550724637681159
EM,0.15,0.008581866091747515,0.2117026089579249,0.18184818481848178,0.49037406827558366
EM,0.2,0.041666666666666664,0.7242020142615601,0.231709304835924,0.5352391629297459
EM,0.5,0.7714285714285715,0.9583333333333334,0.41705069124423966,0.7327823691460055
EM,0.7,0.9069658119658119,0.9702529886016125,0.5733447325923815,0.8240272911672506
EM,0.8,0.9575757575757576,0.9961713710870466,0.7266957364341086,0.9130434782608695
EM,0.9,0.962878787878788,0.9983920251825557,0.9166666666666666,0.9583333333333334
Variational,0.1,0.125,0.2921668786984478,0.3333333333333333,0.4568181818181818
Variational,0.15,0.1789655630900146,0.4656077348066298,0.3767241379310345,0.47631013716812176
Variational,0.2,0.2895422272047833,0.5416666666666666,0.4166666666666667,0.5
Variational,0.5,0.6666666666666666,0.875,0.5753228120516499,0.6979310344827586
Variational,0.7,0.8560968801938619,0.9444956477214541,0.8371212121212119,0.9568840579710145
Variational,0.8,0.9157794777103667,0.9583333333333334,0.9579710144927537,0.9583333333333334
Variational,0.9,0.9583333333333334,0.9902221980571263,0.9583333333333334,0.9787445887445888
